CensusTract,County,Borough,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Citizen,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
36005000100,Bronx,Bronx,7703,7133,570,29.9,6.1,60.9,0.2,1.6,6476,,,2440.0,373.0,,,,,,,,,,,,,,,0,,,,,
36005000200,Bronx,Bronx,5403,2659,2744,75.8,2.3,16.0,0.0,4.2,3639,72034.0,13991.0,22180.0,2206.0,20.0,20.7,28.7,17.1,23.9,8.0,22.3,44.8,13.7,38.6,2.9,0.0,0.0,43.0,2308,80.8,16.2,2.9,0.0,7.7
36005000400,Bronx,Bronx,5915,2896,3019,62.7,3.6,30.7,0.0,0.3,4100,74836.0,8407.0,27700.0,2449.0,13.2,23.6,32.2,23.4,24.9,9.0,10.5,41.3,10.0,44.6,1.4,0.5,2.1,45.0,2675,71.7,25.3,2.5,0.6,9.5
36005001600,Bronx,Bronx,5879,2558,3321,65.1,1.6,32.4,0.0,0.0,3536,32312.0,6859.0,17526.0,2945.0,26.3,35.9,19.1,36.1,26.2,4.9,13.8,37.2,5.3,45.5,8.6,1.6,1.7,38.8,2120,75.0,21.3,3.8,0.0,8.7
36005001900,Bronx,Bronx,2591,1206,1385,55.4,9.0,29.0,0.0,2.1,1557,37936.0,3771.0,17986.0,2692.0,37.1,31.5,35.4,20.9,26.2,6.6,11.0,19.2,5.3,63.9,3.0,2.4,6.2,45.4,1083,76.8,15.5,7.7,0.0,19.2
36005002000,Bronx,Bronx,8516,3301,5215,61.1,1.6,31.1,0.3,3.3,5436,18086.0,3694.0,12023.0,2346.0,53.2,67.7,14.5,41.1,16.7,7.1,20.6,19.6,7.0,68.2,4.3,1.0,0.0,46.0,2508,71.0,21.3,7.7,0.0,17.2
36005002300,Bronx,Bronx,4774,2130,2644,62.3,0.2,36.5,1.0,0.0,3056,14479.0,1901.0,9781.0,1460.0,54.2,68.3,20.8,36.0,33.7,3.4,6.1,5.9,0.0,74.5,14.0,1.5,4.1,42.7,1191,74.2,16.1,9.7,0.0,18.9
36005002400,Bronx,Bronx,150,109,41,0.0,52.0,48.0,0.0,0.0,41,,,49365.0,2072.0,0.0,0.0,63.7,36.3,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,,113,62.8,37.2,0.0,0.0,0.0
36005002500,Bronx,Bronx,5355,2338,3017,76.5,1.5,18.9,0.0,3.0,2509,17226.0,6097.0,11493.0,1714.0,50.5,62.4,15.9,36.6,24.2,8.6,14.7,12.6,2.8,62.5,17.7,1.8,2.7,35.5,1691,85.1,8.3,6.1,0.5,9.4
36005002701,Bronx,Bronx,3016,1375,1641,68.0,0.0,31.2,0.0,0.0,1456,20153.0,5229.0,10317.0,1573.0,52.6,64.9,19.9,35.9,25.8,4.9,13.5,14.0,1.7,64.7,18.0,0.0,1.6,42.8,1102,86.9,8.5,4.5,0.0,15.2
36005002702,Bronx,Bronx,4778,2427,2351,71.3,1.6,26.2,0.0,0.0,2365,17147.0,7165.0,8911.0,1450.0,52.7,63.1,15.2,46.4,25.0,1.7,11.6,5.1,3.0,83.6,7.1,0.7,0.5,44.0,1559,75.0,14.0,11.0,0.0,10.6
36005002800,Bronx,Bronx,5299,2292,3007,23.0,0.2,71.4,0.0,1.7,4056,49529.0,5441.0,26652.0,3069.0,8.5,6.5,36.6,24.4,26.6,4.9,7.4,42.8,3.7,48.2,2.0,0.6,2.7,47.3,2394,61.9,37.4,0.6,0.0,12.8
36005003100,Bronx,Bronx,1466,769,697,72.3,0.6,24.6,0.0,2.2,647,37250.0,12079.0,17043.0,2281.0,18.1,25.2,17.5,27.6,27.0,10.9,17.0,16.4,0.0,65.5,14.6,3.5,0.0,40.1,722,79.2,10.2,10.5,0.0,6.6
36005003300,Bronx,Bronx,3912,1824,2088,65.6,1.0,30.6,1.7,0.0,1945,19923.0,2402.0,8555.0,1435.0,56.3,72.3,14.5,51.4,15.8,2.7,15.6,11.0,4.6,68.4,13.5,0.8,1.8,42.5,1113,77.2,16.9,5.9,0.0,18.5
36005003500,Bronx,Bronx,3948,1921,2027,73.5,0.7,25.9,0.0,0.0,2191,26541.0,7009.0,12300.0,1884.0,36.3,47.9,15.9,34.6,23.5,7.6,18.4,19.6,2.6,64.7,7.4,1.0,4.7,41.6,1360,83.2,13.4,3.4,0.0,11.8
36005003700,Bronx,Bronx,246,128,118,57.7,24.4,17.9,0.0,0.0,207,,,14771.0,5419.0,43.5,0.0,17.7,41.7,24.0,0.0,16.7,8.3,0.0,79.2,12.5,0.0,0.0,33.0,96,100.0,0.0,0.0,0.0,11.1
36005003800,Bronx,Bronx,1193,542,651,53.1,1.8,42.7,0.0,0.8,846,37685.0,6696.0,19795.0,6558.0,31.3,45.0,35.7,31.9,17.6,3.2,11.6,41.6,1.7,47.3,6.9,1.3,1.1,41.3,476,71.8,27.1,1.1,0.0,13.1
